	run	task	split	label	tn_count	fp_count	fn_count	tp_count	stratifier	stratum_key
0	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARG0	63634	2011	5352	12365		
1	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARG1	48188	6613	6725	21836		
2	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARG2	71826	1864	4811	4861		
3	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARG3	82642	36	565	119		
4	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARG4	82718	57	295	292		
5	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARG5	83346	0	16	0		
6	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARGA	83358	0	4	0		
7	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARGM-ADJ	83090	18	204	50		
8	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARGM-ADV	79707	474	1670	1511		
9	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARGM-CAU	82709	99	178	376		
10	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARGM-COM	83326	0	36	0		
11	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARGM-DIR	82729	72	333	228		
12	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARGM-DIS	80146	198	740	2278		
13	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARGM-DSP	83360	0	2	0		
